0,0.80912,-3.3945e-11,0,5.5468e-11,-2.4714e-10
-5.1212e-10,0.80912,2.1095e-06,-1.0242e-07,-0.00025756,0.0010303
-1.5792e-08,0.8091,6.0023e-05,-2.9535e-06,-0.0035342,0.014291
-1.4014e-07,0.80902,0.00040401,-2.1917e-05,-0.015244,0.062399
-6.8227e-07,0.80875,0.0015042,-8.6508e-05,-0.040755,0.16915
-2.257e-06,0.80814,0.0040421,-0.00022845,-0.0835,0.35208
-5.6557e-06,0.80702,0.0088253,-0.00045129,-0.14402,0.61846
-1.1498e-05,0.80521,0.016676,-0.00071709,-0.21974,0.96392
-2.0062e-05,0.80259,0.028317,-0.00099573,-0.30527,1.3731
-3.2058e-05,0.7991,0.04427,-0.0014035,-0.3931,1.8216
-5.1146e-05,0.79475,0.06478,-0.0024142,-0.47447,2.2793
-8.8624e-05,0.78966,0.089777,-0.0050814,-0.54042,2.7134
-0.00016994,0.78402,0.11886,-0.011181,-0.58274,3.0922
-0.00034181,0.77811,0.15134,-0.023194,-0.59485,3.388
-0.00067815,0.77224,0.18628,-0.044074,-0.57248,3.5803
-0.0012826,0.76678,0.22256,-0.076822,-0.51417,3.6571
-0.0022864,0.76207,0.25903,-0.12393,-0.42144,3.6163
-0.0038399,0.75845,0.29452,-0.18677,-0.29868,3.4659
-0.0060998,0.75618,0.32804,-0.26521,-0.15286,3.2231
-0.0092124,0.75544,0.35876,-0.35732,0.0071635,2.9122
-0.013297,0.75633,0.38615,-0.45951,0.17145,2.5628
-0.018429,0.75885,0.40999,-0.56704,0.32996,2.2061
-0.024638,0.76288,0.43035,-0.67466,0.47356,1.8718
-0.031899,0.76825,0.44758,-0.77751,0.59515,1.5848
-0.040146,0.7747,0.46226,-0.87194,0.69041,1.3619
-0.049286,0.78197,0.47506,-0.95609,0.75849,1.2099
-0.059218,0.78979,0.48668,-1.0302,0.80211,1.1243
-0.069851,0.79795,0.49772,-1.0965,0.8271,1.0909
-0.081126,0.80629,0.5086,-1.1585,0.84108,1.0889
-0.093018,0.81475,0.51953,-1.2198,0.85124,1.098
-0.10555,0.82332,0.53056,-1.2861,0.86444,1.1082
-0.11887,0.83217,0.5417,-1.3791,0.9164,1.12
-0.13346,0.842,0.55298,-1.5384,1.0736,1.1362
-0.15017,0.8542,0.56445,-1.8041,1.3966,1.1594
-0.1702,0.8706,0.5762,-2.2012,1.9169,1.1913
-0.19487,0.89317,0.58831,-2.7318,2.6273,1.232
-0.22539,0.92363,0.60086,-3.373,3.4829,1.2802
-0.26265,0.96307,0.61393,-4.0796,4.409,1.3332
-0.307,1.0117,0.62753,-4.7904,5.3135,1.3877
-0.35813,1.0689,0.64167,-5.4358,6.1005,1.4399
-0.41505,1.1331,0.65631,-5.9474,6.6841,1.4862
-0.47612,1.2017,0.67137,-6.2671,6.9997,1.5238
-0.53923,1.2721,0.68675,-6.355,7.013,1.5509
-0.60199,1.341,0.70235,-6.1963,6.7238,1.5668
-0.66199,1.4056,0.71805,-5.8043,6.1663,1.5721
-0.71712,1.4636,0.73376,-5.2206,5.4048,1.5685
-0.76578,1.5133,0.7494,-4.5114,4.525,1.5588
-0.80713,1.554,0.76493,-3.7588,3.6226,1.546
-0.84117,1.586,0.78032,-3.0497,2.7899,1.5333
-0.86872,1.6103,0.7956,-2.4614,2.1015,1.5236
-0.89127,1.6287,0.81081,-2.0479,1.6023,1.5187
-0.91065,1.643,0.82599,-1.8281,1.2997,1.5192
-0.92869,1.6552,0.84121,-1.7806,1.1626,1.5246
-0.94684,1.6666,0.8565,-1.8494,1.1304,1.5331
-0.96593,1.678,0.87188,-1.9685,1.137,1.5428
-0.98627,1.6894,0.88735,-2.099,1.1468,1.5524
-1.0079,1.7009,0.90292,-2.2332,1.1564,1.5594
-1.031,1.7125,0.91851,-2.3705,1.1649,1.5576
-1.0554,1.7242,0.93401,-2.5096,1.1715,1.5386
-1.0811,1.7359,0.94919,-2.649,1.1749,1.4922
-1.1083,1.7477,0.96373,-2.7865,1.174,1.4077
-1.1369,1.7594,0.97718,-2.92,1.1674,1.2747
-1.1667,1.771,0.98903,-3.0471,1.1541,1.0834
-1.1978,1.7824,0.99863,-3.1654,1.1331,0.82556
-1.2299,1.7936,1.0053,-3.2724,1.1035,0.49438
-1.2631,1.8045,1.0083,-3.366,1.0647,0.085149
-1.2972,1.8149,1.0067,-3.4448,1.0163,-0.40469
-1.332,1.8248,0.99989,-3.5078,0.95831,-0.97546
-1.3673,1.834,0.98695,-3.5549,0.89077,-1.6252
-1.403,1.8426,0.96714,-3.5868,0.81408,-2.3496
-1.4389,1.8503,0.93974,-3.6052,0.72885,-3.1422
-1.475,1.8571,0.9041,-3.6123,0.63593,-3.9948
-1.5111,1.863,0.85967,-3.6108,0.53636,-4.897
-1.5472,1.8678,0.80603,-3.6035,0.43136,-5.8371
-1.5832,1.8716,0.74285,-3.593,0.3223,-6.8017
-1.6191,1.8743,0.66996,-3.5816,0.21068,-7.7766
-1.6548,1.8758,0.58733,-3.5711,0.098077,-8.7467
-1.6905,1.8762,0.49509,-3.5628,-0.013862,-9.6964
