0.14224,-2.5199e-18
0.17001,0.00066368
0.19116,0.00098787
0.20626,0.0010383
0.2159,0.00088065
0.22068,0.00058068
0.22117,0.00020409
0.21792,-0.00018341
0.21138,-0.00051609
0.20198,-0.00072825
0.19017,-0.00075415
0.17643,-0.00052809
0.16133,1.5645e-05
0.20834,-0.00041086
0.23221,-0.0005985
0.23714,-0.00059566
0.22747,-0.00045075
0.20765,-0.00021217
0.18219,7.1707e-05
0.15557,0.00035247
0.13222,0.00058172
0.11653,0.00071108
0.1129,0.00069213
0.12578,0.0004765
0.15973,1.5775e-05
0.10547,-0.0068226
0.062586,-0.0074769
0.030752,-0.0036964
0.0088981,0.0027696
-0.0048209,0.010172
-0.011953,0.016761
-0.013735,0.020788
-0.011793,0.020503
-0.0076212,0.014156
9.4234e-14,-1.5954e-16
0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
-0,0
0,0
0,0
0.12772,-0.012126
0.17685,-0.018194
0.20844,-0.019415
0.22588,-0.016999
0.22766,-0.012158
0.21744,-0.0061019
0.20156,-4.2204e-05
0.18485,0.0048103
0.17042,0.0072449
0.16187,0.0060506
0.16466,1.6532e-05
0.19941,-0.00087811
0.2206,-0.0012594
0.23077,-0.0012389
0.2322,-0.00092795
0.22697,-0.00043808
0.21702,0.00011926
0.20431,0.00063259
0.19082,0.00099046
0.17867,0.0010814
0.17015,0.00079395
0.16761,1.664e-05
0.18254,0.001118
0.19622,0.001595
0.20782,0.001575
0.21679,0.0011849
0.22281,0.000552
0.22562,-0.00019665
0.22483,-0.00093392
0.21987,-0.0015327
0.20995,-0.0018658
0.19423,-0.0018061
0.1719,-0.0012266
0.14224,4.1002e-17
